tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,volume,netAsset,totalAsset,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pprice,pchange,pchRatio,unSymbol,tickerType,belongTickerId,direction,weekly,quoteLotSize,expireDate,strikePrice,trdStatus,price,quoteMultiplier,cycle,dt,position,middlePrice,turnover,positionChange,implVol,expirationType,marketValue,turnoverRate,rank_type
1018480871,189,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM231215P00160000,IWM,NYSEARCA,OPRA,1,derivative,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,4.22,0.66,0.1854,9857,41592328473,46769065197,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,162.01,-0.20,-0.0012,IWM,7,913243073,put,0,100,2023-12-15,160,1,4.22,100,3,dr,161449,4.25,39189.78,-432,0.2420,,,,position
1019640766,189,3,"[1, 34]",6,247,USD,iShares MSCI Emerging Markets ETF,EEM231215P00035000,EEM,NYSEARCA,OPRA,1,derivative,2023-10-27T23:26:44.709+0000,2023-10-27T23:26:44.709+0000,A,0.44,0.00,0.0000,56361,24465162009,16278429441,United States,US,0.0000,36.56,42.53,33.92,36.89,36.95,36.47,0.0130,,,36.55,0.02,0.0005,EEM,7,913243879,put,0,100,2023-12-15,35,1,0.44,100,3,dr,161188,0.46,22623.87,-7500,0.2144,,,,position
1037449604,189,2,[61],6,247,USD,Ford Mtr Co Del,F240119P00011350,F,NYSE,OPRA,1,derivative,2023-10-27T23:59:55.256+0000,2023-10-27T23:59:55.256+0000,A,1.65,0.90,1.2000,3123,,,United States,US,9.7019,11.35,15.42,9.90,10.93,10.97,9.90,0.0943,2023-10-26,10/25-10/31,9.98,0.02,0.0020,F,7,913255275,put,0,100,2024-01-19,11.35,1,1.65,100,3,dr,159068,1.65,4151.23,-3594,0.3512,,39862166995,0.0467,position
1039104963,189,2,[61],6,247,USD,Amazon Com,AMZN231117C00120000,AMZN,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:51.127+0000,2023-10-27T23:59:51.127+0000,A,9.57,3.22,0.5071,140898,,,United States,US,101.5583,119.57,145.86,81.43,126.20,130.02,125.52,0.0376,2023-10-26,,127.71,-0.03,-0.0002,AMZN,7,913256180,call,0,100,2023-11-17,120,1,9.57,100,3,dr,158364,9.75,1562425.20,4333,0.3773,,1317989486681,0.0121,position
1037776289,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231115C00045000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,0.22,0.02,0.1000,42151,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,call,0,100,2023-11-15,45,0,0.22,100,3,dr,155046,0.21,9284.63,1765,1.9320,1.0,,,position
1038318830,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231220C00019000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,3.72,0.36,0.1071,13902,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,call,0,100,2023-12-20,19,0,3.72,100,3,dr,152959,3.63,48218.20,-37,0.8217,1.0,,,position
1036002706,189,3,"[2, 34]",6,247,USD,iShares iBoxx $ High Yield Corp Bd ETF,HYG231117P00073000,HYG,NYSEARCA,OPRA,1,derivative,2023-10-27T23:56:11.975+0000,2023-10-27T23:56:11.975+0000,A,1.25,0.11,0.0965,1555,31329737864,10875730200,United States,US,0.0000,72.45,77.34,71.68,72.52,72.61,72.23,0.0052,,,72.40,0.04,0.0006,HYG,7,913242920,put,0,100,2023-11-17,73,1,1.25,100,3,dr,151272,1.60,1887.95,1832,0.0851,,,,position
1034786599,189,3,"[1, 34]",6,247,USD,Financial Select Sector SPDR® ETF,XLF250117C00041000,XLF,NYSEARCA,OPRA,1,derivative,2023-10-27T23:59:45.902+0000,2023-10-27T23:59:45.902+0000,A,0.36,-0.08,-0.1818,31501,18749211299,28022806521,United States,US,0.0000,32.03,37.11,30.39,31.99,32.03,31.36,0.0208,,,31.45,0.00,0.0000,XLF,7,913243231,call,0,100,2025-01-17,41,1,0.36,100,3,dr,150950,0.34,10710.36,0,0.1667,,,,position
1022582983,189,3,"[1, 34]",6,247,USD,Financial Select Sector SPDR® ETF,XLF240119P00030000,XLF,NYSEARCA,OPRA,1,derivative,2023-10-27T23:59:45.902+0000,2023-10-27T23:59:45.902+0000,A,0.70,0.15,0.2727,157,18749211299,28022806521,United States,US,0.0000,32.03,37.11,30.39,31.99,32.03,31.36,0.0208,,,31.45,0.00,0.0000,XLF,7,913243231,put,0,100,2024-01-19,30,1,0.70,100,3,dr,150681,0.71,92.08,-5,0.2360,,,,position
1037202419,189,2,[61],6,247,USD,American Airline,AAL251219P00005000,AAL,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:16.249+0000,2023-10-27T23:59:16.249+0000,A,0.76,0.02,0.0270,13031,,,United States,US,4.8381,11.15,19.08,10.88,11.18,11.23,10.88,0.0312,,01/24-01/29,10.91,-0.01,-0.0009,AAL,7,913255803,put,0,100,2025-12-19,5,1,0.76,100,3,dr,147741,0.77,10094.63,73,0.7082,,7136662806,0.0610,position
1018480872,189,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM231215P00150000,IWM,NYSEARCA,OPRA,1,derivative,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,1.73,0.25,0.1689,895,41592328473,46769065197,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,162.01,-0.20,-0.0012,IWM,7,913243073,put,0,100,2023-12-15,150,1,1.73,100,3,dr,147379,1.76,1567.26,-78,0.2744,,,,position
