tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,volume,netAsset,totalAsset,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pprice,pchange,pchRatio,dt,position,volumeCallPutRatio,positionCallPutRatio,price,marketValue,turnoverRate,rank_type
913254222,10,2,[61],6,247,USD,Plug Power,PLUG,PLUG,NASDAQ,NAS,1,stock,2023-10-27T23:57:12.235+0000,2023-10-27T23:57:12.235+0000,A,5.90,-0.36,-0.0575,35471,,,United States,US,-4.1438,6.26,18.88,5.78,6.30,6.38,5.87,0.0815,,11/06-11/10,5.93,0.03,0.0051,sr,1044279,0.37,0.70,5.90,3551636434,0.0328,totalPosition
913255864,96,2,[61],6,247,USD,Jd.Com Inc,JD,JD,NASDAQ,NSQ,1,stock,2023-10-27T23:59:55.598+0000,2023-10-27T23:59:55.598+0000,A,25.65,-0.27,-0.0104,38712,,,United States,US,13.5263,25.92,67.10,24.01,26.22,26.32,25.19,0.0436,,11/16-11/20,25.65,0.00,0.0000,sr,983382,0.45,0.60,25.65,40347450000,0.0092,totalPosition
913324525,11,2,[61],6,247,USD,Verizon Comms,VZ,VZ,NYSE,NYSE,1,stock,2023-10-27T23:58:14.633+0000,2023-10-27T23:58:14.633+0000,A,33.44,-1.03,-0.0299,83961,,,United States,US,6.7394,34.47,42.58,30.14,34.38,34.59,33.34,0.0363,2024-01-23,,33.44,-0.01,-0.0002,sr,972976,0.91,0.76,33.44,140581760000,0.0057,totalPosition
950979523,96,2,[61],6,247,USD,WARNER BROS DISCOVERY INC,WBD,WBD,NASDAQ,NSQ,1,stock,2023-10-27T23:59:05.043+0000,2023-10-27T23:59:05.043+0000,A,9.55,-0.25,-0.0255,19605,,,United States,US,-3.4579,9.80,16.34,8.82,9.80,9.91,9.53,0.0388,2023-11-08,,9.55,-0.00,-0.0000,sr,962285,0.66,0.82,9.55,23277021020,0.0062,totalPosition
913243145,34,3,"[1, 34]",6,247,USD,iShares MSCI EAFE ETF,EFA,EFA,NYSEARCA,PSE,1,etf,2023-10-27T20:58:30.036+0000,2023-10-27T20:58:30.036+0000,A,65.84,-0.20,-0.0030,239094,48797966452,44358586161,United States,US,0.0000,66.04,74.74,58.06,66.50,66.53,65.68,0.0126,,,65.84,0.00,0.0000,sr,951804,2.75,2.45,65.84,,,totalPosition
950986527,11,2,[61],6,247,USD,Kenvue Inc.,KVUE,KVUE,NYSE,NYSE,1,stock,2023-10-27T23:52:46.723+0000,2023-10-27T23:52:46.723+0000,A,18.21,-0.48,-0.0257,72769,,,United States,US,30.1191,18.69,27.80,18.09,18.61,18.71,18.09,0.0332,2023-10-26,,18.25,0.04,0.0022,sr,951437,0.06,0.52,18.21,34870227825,0.0226,totalPosition
913324267,11,2,[61],6,247,USD,Transocean,RIG,RIG,NYSE,NYSE,1,stock,2023-10-27T23:58:56.221+0000,2023-10-27T23:58:56.221+0000,A,6.55,-0.14,-0.0209,48440,,,United States,US,-4.7574,6.69,8.88,3.510,6.71,6.75,6.50,0.0366,2023-10-30,,6.55,0.00,0.0000,sr,935534,0.30,0.31,6.55,5099338579,0.0212,totalPosition
913254798,11,2,[61],6,247,USD,Block Inc,SQ,SQ,NYSE,NYSE,1,stock,2023-10-27T23:59:53.637+0000,2023-10-27T23:59:53.637+0000,A,40.02,-1.66,-0.0398,180028,,,United States,US,-89.9933,41.68,89.97,38.91,40.36,40.52,38.91,0.0386,2023-11-02,,40.00,-0.02,-0.0005,sr,909468,1.08,0.65,40.02,24415249203,0.0326,totalPosition
950139945,11,2,[61],6,247,USD,Chargepoint Holdings Inc,CHPT,CHPT,NYSE,NYSE,1,stock,2023-10-27T23:59:56.404+0000,2023-10-27T23:59:56.404+0000,A,2.490,0.000,0.0000,65601,,,United States,US,-2.3557,2.490,14.62,2.395,2.520,2.580,2.395,0.0743,,11/13-11/17,2.520,0.030,0.0120,sr,853700,1.59,0.73,2.490,896534425,0.0658,totalPosition
913247095,34,3,"[1, 34]",6,247,USD,KraneShares CSI China Internet ETF,KWEB,KWEB,NYSEARCA,PSE,1,etf,2023-10-27T23:57:43.058+0000,2023-10-27T23:57:43.058+0000,A,26.49,0.19,0.0072,65809,2.78791494E+9,5343493509,United States,US,0.0000,26.30,36.19,18.65,26.83,27.01,26.42,0.0222,,,26.42,-0.07,-0.0026,sr,853047,0.29,0.55,26.49,,,totalPosition
913255465,11,2,[61],6,247,USD,Coca Cola Co,KO,KO,NYSE,NYSE,1,stock,2023-10-27T23:59:36.063+0000,2023-10-27T23:59:36.063+0000,A,55.24,-0.54,-0.0097,58850,,,United States,US,22.2670,55.78,64.99,51.55,55.55,56.14,55.10,0.0186,,02/12-02/16,55.18,-0.06,-0.0011,sr,811152,0.68,0.76,55.24,238825378864,0.0032,totalPosition
913324077,96,2,[61],6,247,USD,Micron Technology Inc,MU,MU,NASDAQ,NSQ,1,stock,2023-10-27T23:59:46.810+0000,2023-10-27T23:59:46.810+0000,A,65.65,1.12,0.0174,49738,,,United States,US,-12.3016,64.53,74.77,48.43,64.92,66.27,64.88,0.0215,,12/19-12/26,65.55,-0.10,-0.0015,sr,808493,1.30,1.36,65.65,72085963021,0.0091,totalPosition
950188842,34,3,"[9, 34]",6,247,USD,ProShares Bitcoin Strategy ETF,BITO,BITO,NYSEARCA,PSE,1,etf,2023-10-27T23:59:30.860+0000,2023-10-27T23:59:30.860+0000,A,17.11,-0.17,-0.0098,63165,,1072460383,United States,US,0.0000,17.28,18.39,9.48,17.37,17.41,16.95,0.0266,,,17.25,0.14,0.0079,sr,808394,0.37,0.22,17.11,,,totalPosition
